"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
117,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",117,"Bandafassi","",1312010,"13120101","Commune","Commune"
118,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",118,"Dindefello","",1312010,"13120103","Commune","Commune"
119,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",119,"Ninefecha","",1312010,"13120104","Commune","Commune"
120,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",120,"Tomboronkoto","",1312010,"13120102","Commune","Commune"
121,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",29,"Fongolimbi",121,"Dimboly","",1312020,"13120201","Commune","Commune"
122,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",29,"Fongolimbi",122,"Fongolimbi","",1312020,"13120202","Commune","Commune"
123,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",30,"Dakately",123,"Dakately","",1322010,"13220101","Commune","Commune"
124,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",30,"Dakately",124,"Kevoye","",1322010,"13220102","Commune","Commune"
125,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam",125,"Dar Salam","",1322020,"13220201","Commune","Commune"
126,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam",126,"Ethiolo","",1322020,"13220202","Commune","Commune"
127,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam",127,"Oubadji","",1322020,"13220203","Commune","Commune"
128,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",32,"Bembou",128,"Bembou","",1332010,"13320102","Commune","Commune"
129,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",32,"Bembou",129,"Medina Baffe","",1332010,"13320101","Commune","Commune"
130,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala",130,"Khossanto","",1332020,"13320201","Commune","Commune"
131,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala",131,"Missirah Sirimana","",1332020,"13320202","Commune","Commune"
132,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala",132,"Sabodala","",1332020,"13320203","Commune","Commune"
133,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki",133,"Diamal","",1222010,"12220103","Commune","Commune"
134,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki",134,"Keur Mboucki","",1222010,"12220101","Commune","Commune"
135,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki",135,"Touba Mbella","",1222010,"12220102","Commune","Commune"
136,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",136,"Mabo","",1222020,"12220201","Commune","Commune"
137,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",137,"Mbeuleup","",1222020,"12220203","Commune","Commune"
138,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",138,"Ndiognick","",1222020,"12220202","Commune","Commune"
139,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",139,"Segre Gatta","",1222020,"12220204","Commune","Commune"
140,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby",140,"Boulel Goumack","",1212010,"12120101","Commune","Commune"
141,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby",141,"Gniby","",1212010,"12120102","Commune","Commune"
142,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby",142,"Kahi","",1212010,"12120103","Commune","Commune"
